Code,ID,Repetition,C
1A,1,1,24.6
1A,1,2,25.2
1A,1,3,25.3
3A,3,1,23.9
3A,3,2,23.8
3A,3,3,24.7
5A,5,1,23
5A,5,2,23.6
5A,5,3,23.9
7A,7,1,23.6
7A,7,2,23.1
7A,7,3,24
9A,9,1,18.7
9A,9,2,19.3
9A,9,3,19.1
11A,11,1,15.8
11A,11,2,16.5
11A,11,3,16.4
13A,13,1,15
13A,13,2,15
13A,13,3,15.1
15A,15,1,16.9
15A,15,2,16.8
15A,15,3,16.9
17A,17,1,22
17A,17,2,21.6
17A,17,3,21.3
19A,19,1,23.3
19A,19,2,22.5
19A,19,3,22.1
21A,21,1,23.4
21A,21,2,23
21A,21,3,23.1
23A,23,1,21.2
23A,23,2,21.7
23A,23,3,21.4
25A,25,1,20.3
25A,25,2,20.6
25A,25,3,19.8
27A,27,1,20.1
27A,27,2,19.6
27A,27,3,19.8
28A,28,1,16.3
28A,28,2,16.4
28A,28,3,16.5
30A,30,1,14.7
30A,30,2,14.5
30A,30,3,14.5
32A,32,1,15.1
32A,32,2,15
32A,32,3,15.3
34A,34,1,14.7
34A,34,2,14.9
34A,34,3,14.8
36A,36,1,15.6
36A,36,2,15.8
36A,36,3,16.1
38A,38,1,18
38A,38,2,18.3
38A,38,3,18.1
40A,40,1,19.4
40A,40,2,19.7
40A,40,3,19.2
42A,42,1,17.9
42A,42,2,18.1
42A,42,3,18.1
44A,44,1,17.8
44A,44,2,17.6
44A,44,3,17.9
46A,46,1,18.3
46A,46,2,18
46A,46,3,17.7
47A,47,1,21.6
47A,47,2,21.2
47A,47,3,21
49A,49,1,23
49A,49,2,22.4
49A,49,3,22.6
51A,51,1,23.2
51A,51,2,22.9
51A,51,3,23.6
53A,53,1,20.8
53A,53,2,20.9
53A,53,3,20.9
55A,55,1,18.8
55A,55,2,18.8
55A,55,3,19.1
57A,57,1,21.7
57A,57,2,21.3
57A,57,3,21.7
59A,59,1,21.6
59A,59,2,21.4
59A,59,3,21.2
62A,62,1,18.6
62A,62,2,18.4
62A,62,3,17.7
64A,64,1,18.3
64A,64,2,18.4
64A,64,3,19.3
67A,67,1,19.4
67A,67,2,19.7
67A,67,3,19.2
69A,69,1,14.9
69A,69,2,15.1
69A,69,3,15.2
71A,71,1,15.6
71A,71,2,16.1
71A,71,3,15.6
73A,73,1,17.2
73A,73,2,17.5
73A,73,3,17.5
74A,74,1,19.3
74A,74,2,19.7
74A,74,3,19.3
76A,76,1,21.2
76A,76,2,21.3
76A,76,3,20.7
78A,78,1,21.2
78A,78,2,20.9
78A,78,3,22.1
80A,80,1,20.8
80A,80,2,21.2
80A,80,3,21.3
81A,81,1,20.4
81A,81,2,20.5
81A,81,3,21.2
83A,83,1,21.2
83A,83,2,21.4
83A,83,3,21.5
86A,86,1,24
86A,86,2,23.9
86A,86,3,24.4
88A,88,1,23.3
88A,88,2,22.7
88A,88,3,22.6
90A,90,1,21.2
90A,90,2,21.5
90A,90,3,21.7
92A,92,1,19.6
92A,92,2,20.9
92A,92,3,20.8
94A,94,1,20.2
94A,94,2,19.8
94A,94,3,19.5
97A,97,1,15.7
97A,97,2,15.6
97A,97,3,15.6
99A,99,1,14.4
99A,99,2,14.5
99A,99,3,14.6
